Date,2 Years,3 Years,5 Years,7 Years,10 Years,20 Years,30 Years
Mar 2020,0.46,0.53,0.67,0.76,0.86,1.29,1.57
Apr 2020,0.21,0.28,0.43,0.53,0.64,1.14,1.36
May 2020,0.16,0.22,0.39,0.50,0.64,1.21,1.48
Jun 2020,0.18,0.23,0.39,0.53,0.69,1.30,1.58
Jul 2020,0.14,0.18,0.32,0.43,0.59,1.12,1.40
Aug 2020,0.13,0.17,0.31,0.44,0.62,1.16,1.44
Sep 2020,0.12,0.16,0.30,0.44,0.65,1.21,1.49
Oct 2020,0.14,0.19,0.36,0.53,0.76,1.33,1.62
Nov 2020,0.15,0.22,0.42,0.61,0.85,1.38,1.65
Dec 2020,0.12,0.19,0.41,0.64,0.92,1.45,1.70
Jan 2021,0.12,0.21,0.47,0.74,1.07,1.61,1.85
Feb 2021,0.11,0.23,0.57,0.88,1.26,1.85,2.07
Mar 2021,0.15,0.36,0.85,1.24,1.63,2.21,2.37
Apr 2021,0.16,0.37,0.88,1.27,1.64,2.17,2.33
May 2021,0.15,0.35,0.85,1.24,1.64,2.20,2.36
Jun 2021,0.19,0.40,0.87,1.20,1.51,2.08,2.21
Jul 2021,0.21,0.40,0.79,1.05,1.28,1.87,2.00
Aug 2021,0.21,0.41,0.80,1.04,1.23,1.83,1.97
Sep 2021,0.24,0.46,0.90,1.14,1.32,1.86,1.98
Oct 2021,0.39,0.66,1.14,1.37,1.52,2.02,2.09
Nov 2021,0.39,0.66,1.14,1.37,1.52,2.02,2.09
